"Barthel, Deirdre Deputy Director of Legislative Affairs"
"Layne, Christina Special Assistant for Legislative Affairs"
"Pennello, Matthew Special Assistant for Legislative Affairs"
Name,Title
CORRESPONDENCE,
"Brady, Kelly","Director, Office of Executive Chamber Correspondence"
"Montross, Kathy",Director of Correspondence Processing
"Loneck, Heather",Deputy Director
"Rakoczy, Larissa",Writer
"Kramer, Mary",Writer
"Agars, Sara",Assistant Director of Correspondence Processing
"Reisinger, Elizabeth",Confidential Aide
"Merritt, Ryan",Senior Writer
"Hammond, Jennifer",Confidential Aide
"King, Javon",Confidential Aide
"Gammans, Jessica",Confidential Aide
"Hartle, Kathleen",Confidential Aide
"Bolani, Donna",Confidential Aide
"Minkin, Natalia",Confidential Aide
"Holtzman, Amanda",Confidential Aide
"David, Jessica",Confidential Aide
"Hill, Andrea",Confidential Aide
"Escobedo, Kasey",Confidential Aide
ADMINISTRATION,
"Brennan, Theresa",Director of Administrative Services
"Clark, Michelle",Assistant Director of Administrative Services
"Petrosino, John",Confidential Assistant
"Bogdan, Edward",Confidential Assistant
"",
"Reyes, Jenny",Deputy Director of Administrative Services - NYC
"Bunnicelli, Richard","Asst Director Admin Services, Property Management"
"Gonzalez, Sylvia",Executive Assistant
"Morales, Shaella",Executive Assistant
"Mandell, Susan",Executive Assistant
"Padilla, Lillian",Executive Assistant
"Brown, Octavia",Executive Assistant
"Perez, Dianne",Executive Assistant
"Garcia, Elias",Special Office Assistant
"Perez, Michael",Special Office Assistant
"Rivera, Denise",Receptionist
COMPUTER SERVICES,
"Irvin, Thomas",Chief of Computer Services
"Jackson, Kevin",Computer Programmer
"Moore, Harold",Special Office Assistant
"Burns, Zachary",Special Office Assistant
"",
Name,Title
PRESS/COS,
"Comella, Maria",Chief of Staff
"Moody, Kaitlin",Deputy Director of Governor's Offices
"",
"Allen, James",Director of Communications
"Lever, Dani",Press Secretary
"Azzopardi, Richard",Senior Deputy Communications Director
"Rosales, Leo",Deputy Director of Communications
"Brancato, Peter",Deputy Communications Director for Cabinet Affairs
"Weinstein, Jon",Deputy Communications Director for Transportation
"Rosales, Michelle",Chief Public Information Officer for Economic Dev.
"Leblonde, Nicole",Chief Public Information Officer  for Health
"Fashouer, Abigail",First Deputy Press Secretary
"Brennan, Colin",Deputy Press Secretary
"Morgan, Maxwell",Deputy Press Secretary
"Michalos, Maria",Deputy Press Secretary
"Crampton-Hays, Hazel",Deputy Press Secretary
"Wells, Chyresse",Deputy Press Secretary
"Lasch, Emma",Deputy Press Secretary
"Lucia, Jessica",Deputy Press Secretary
"Polsonilli, Sandra",Executive Assistant
"Scharf, Amy",Executive Assistant
"",
"Reisner, Mimi",Senior Advisor -- Communications
"Bibi, Elizabeth",Deputy Director of Media Relations
"",
"Topousis, Thomas","Special Advisor to the DoC, Director of Speechwriting"
"Malanowski, Jamie",Senior Speechwriter
"Laurino, Maria",Speechwriter
"Sutton, Barbara",Speechwriter
"Tillman, Andrew",Speechwriter
"Rayman, Noah",Speechwriter
"",
"Titus, Kristen",Chief Technology & Innovation Officer
"Galasso, Valery",Senior Policy Advisor
"Shumlin, Rebecca",Digital Strategist
"",
"Fullerton, Timothy",Director of Digital Communications
"Bowen, Diana",Videographer
"Stark, Stephanie",Social Media Editor
"Dondiego, Matthew",Digital Strategist
"Call, Kevin",Online Engagement Manager
"",
"Wertheimer, Joel",Staff Secretary
"Morettoni, Courtney",Excelsior Fellow
"",
"Chase, Victoria",Director of Information Services
"Flaherty, Matthew",Deputy Director of Information Services
"DeCancio, David",Deputy Director of Information Services
"Roberts, Erin",Deputy Director of Research Services
Name,Title
COUNSEL,
"David, Alphonso",Counsel
"Toll, Sandi",First Assistant Counsel
"Bernabe, Axel",Assistant Counsel
"Fontaine, Nadine",Assistant Counsel
"Bishop, Kevin",Assistant Counsel
"Edwards, Tanisha",Assistant Counsel
"Knaub, Zackary",Assistant Counsel
"Pinover-Kupiec, Julia",Assistant Counsel
"Perino, David",Assistant Counsel
"Pratt, Terrance",Assistant Counsel
"Silverman, Adam",Assistant Counsel
"Rubin, Kendra",Assistant Counsel
"Archambault, Jill",Assistant Counsel
"Gibbon, Robert",Assistant Counsel
"Murphy, Jennifer",Assistant Counsel
"Biaggi, Alessandra",Special Assistant to the Counsel
"Starr, Jason",Gabay Fellow
"Pellegrini, Giancarlo",Empire State Fellow (Counsel)
"Finke, James",Special Assistant for Judicial Screening
"Gagnon, Denise",Legislative Secretary
"Rose, Alexander",Special Assistant to Counsel's Office
"Biden, Naomi",Research Assistant to the Governor's Counsel
"Dorsey, Meghan",Legislative Assistant
"Santandrea, Katherine",Office Manager
"McDonald, Lettisha",Executive Assistant
"Frany, Leigh",Executive Assistant
"Terry, Yolanda",Executive Assistant
"Corellis, Suzan",Executive Assistant
"Grogan, Sharry",Executive Assistant
"Diaz-Brisman, Patrisia",Executive Assistant
"",
"Schuman, Adam",Special Counsel for Public Integrity
"Pokorny, Carolyn",Chief Special Counsel for Public Integrity
"Wolinsky, Andrew",Assistant Special Counsel for Public Integrity
"Teitlebaum, Rachel",Assistant Special Counsel for Public Integrity
"Hicks, Charles",Special Assistant for Public Integrity
"Bazell, Stephanie","Chief of Staff for Ethics, Risk and Compliance"
"Grasso, Lauren",Chief FOIL Officer
"DiBernardo, Blaise",FOIL Attorney
"Alvi, Nida",FOIL Attorney
"Mantello, Rebecca",FOIL Attorney
"Herasimtschuk, Andrea",FOIL Attorney
"Morrison, Derek",Special Assistant for Public Integrity
"Hill, Aaron",Research Analyst
"Sherwood, Jacob",Research Analyst
"Bondoa, Fritz",Research Analyst
"",
"",
